date,fold,best_dice,best_epoch,train_loss_final,duration,gpu_count,batch_size,num_workers,lr,epochs,img_size,model_name,optimizer,scheduler,loss
2026-02-11 09:18:18,3,0.9145,46,0.0311,2:40:41,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 09:18:28,4,0.9204,31,0.0320,2:41:27,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 09:18:12,2,0.8981,44,0.0299,2:42:55,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 12:53:57,1,0.9324,42,0.0328,2:09:48,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 12:53:54,0,0.9264,35,0.0312,2:09:52,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 12:54:25,3,0.9131,43,0.0313,2:44:03,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 12:54:29,4,0.9195,37,0.0314,2:45:27,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 12:54:07,2,0.8983,33,0.0298,2:46:57,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 17:57:29,0,0.9298,44,0.0285,2:11:10,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 17:58:21,1,0.9349,24,0.0302,2:11:39,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 17:59:26,3,0.9223,32,0.0289,2:47:03,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 17:59:48,4,0.9267,46,0.0291,2:49:00,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-11 17:58:53,2,0.9031,25,0.0274,2:50:46,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-13 17:03:04,0,0.9289,50,0.0252,4:43:15,8,8,4,0.0001,100,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-13 17:08:04,1,0.9357,62,0.0268,4:58:35,8,8,4,0.0001,100,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-13 17:08:35,3,0.9218,46,0.0257,4:59:25,8,8,4,0.0001,100,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-13 17:08:47,4,0.9251,54,0.0259,5:01:06,8,8,4,0.0001,100,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
